title,abstract,year,journal,cluster,top_terms
Tinospora cordifolia protects from skeletal muscle atrophy by alleviating oxidative stress and inflammation induced by sciatic denervation.,"ETHANOPHARMACOLOGICAL RELEVANCE: Tinospora cordifolia (TC) is widely being used as immunomodulatory and re-juvenile drug and well described in Indian Ayurveda  system of medicine. Rejuvenation also means the fine tuning of the skeletal  muscles. Skeletal muscle related disorder, i.e. atrophy is major problem which  arise due to cachexia, sarcopenia and immobilization. However, despite of the  great efforts, there is scarcity of FDA approved drugs in the market to treat  skeletal muscle atrophy. AIM OF THE STUDY: The current study was aimed to explore  the in-vitro and in-vivo efficacy and mechanism of TC in myogenic differentiation  and skeletal muscle atrophy to establish the possibility of its usage to  counteract skeletal muscle atrophy. MATERIALS AND METHODS: C2C12 cell lines were  used to determine myogenic potential and anti-atrophic effects of T. cordifolia  water extract (TCE). Its in-vitro efficacy was re-validated in vivo by  supplementation of TCE at a dose of 200 mg/kg/p.o. for 30 days in denervated mice  model of skeletal muscle atrophy. Effects of TCE administration on levels of  oxidative stress, inflammatory markers and proteolysis were determined. RESULTS:  TCE supplementation displayed increased lymphocyte proliferation and induced  myogenic differentiation of C2C12 myoblasts by significantly increasing myocytes  length and thickness, in comparison to control (p < 0.05). TCE supplementation  decreased oxidative stress and inflammatory response by significantly modulating  activities of catalase, glutathione peroxidase, lipid peroxidase, superoxide  dismutase and β-glucuronidase (p < 0.05). It increased MF-20c expression and  ameliorated degradation of muscle protein by down-regulating MuRF-1 and calpain  activity. CONCLUSION: TCE supplementation promotes myogenic differentiation in  C2C12 cell lines and prevents denervation induced skeletal muscle atrophy by  antagonizing the proteolytic systems (calpain and UPS) and maintaining the  oxidative defense mechanism of the cell. Hence, TCE can be used as a protective  agent against muscle atrophy.",2020,Journal of ethnopharmacology,7,skeletal; skeletal muscle; muscle atrophy; protein; role
Paradoxical effect of IKKβ inhibition on the expression of E3 ubiquitin ligases and unloading-induced skeletal muscle atrophy.,"We tested whether NF-κB pathway is indispensable for the increase in expression of E3-ligases and unloading-induced muscle atrophy using IKKβ inhibitor IMD-0354.  Three groups of rats were used: nontreated control (C), 3 days of  unloading/hindlimb suspension with (HS+IMD) or without (HS) IMD-0354. Levels of  IκBα were higher in HS+IMD (1.16-fold) and lower in HS (0.82-fold) when compared  with C group. IMD-0354 treatment during unloading: had no effect on loss of  muscle mass; increased mRNA levels of MuRF1 and MAFbx; increased levels of  pFoxO3; and had no effect on levels of Bcl-3, p105, and p50 proteins. Our study  for the first time showed that inhibiting IKKβ in vivo during 3-day unloading  failed to diminish expression of ubiquitin ligases and prevent muscle atrophy.",2017,Physiological reports,2,soleus; hs; soleus muscle; unloading; rats
PGC-1α over-expression suppresses the skeletal muscle atrophy and myofiber-type composition during hindlimb unloading.,"Disuse leads to severe muscle atrophy and a slow-to-fast myofiber-type transition. PGC-1α (Peroxisome proliferator-activated receptor γ coactivator 1α)  is documented to play an important role in muscle atrophy and slow-twitch  myofiber determination. Transcription of atrophy-related Atrogin-1 by FoxO3 can  be reduced by PGC-1α. While Smad3 augments FoxO3-induced Atrogin-1 and MuRF1  promoter activity. So PGC-1α, as a transcription co-activator, may regulate  hindlimb unloading (HU)-induced myofiber-type transition and muscle atrophy  through Smad3. Our results showed that transgenic PGC-1α mice resisted HU-induced  muscle loss, atrophy-related genes expression, and slow-to-fast myofiber(-)type  transition. Furthermore, over-expression of PGC-1α resisted the increase in  pSmad3 during muscle atrophy in vivo and in vitro. And, PGC-1α over-expression  inhibited the expression of atrogenes via suppressing the phosphorylation of  Smad3 in vitro. Thus, PGC-1α is effective in regulating myofiber-type transition  during HU, and it alleviates skeletal muscle atrophy partially through  suppressing the activation of Smad3.",2017,"Bioscience, biotechnology, and biochemistry",1,hu; expression; unloading; skeletal; skeletal muscle
Effect of losartan treatment on Smad signaling and recovery from hindlimb unloading-induced soleus muscle atrophy in female rats.,"Losartan, an angiotensin II type 1 receptor blocker, exerts protective effect on soleus muscle atrophy in female rats. Thus, we aimed to examine the effect of  losartan treatment on the recovery of atrophied soleus muscles. Female Wistar  rats were subjected to hindlimb unloading for 7 d and then reloading for 7 d with  either phosphate-buffered saline (PBS; n = 9) or losartan (40 mg/kg/day; n = 9).  The soleus muscles were removed at rest (sedentary control [SED]; n = 9), after  7 d of hindlimb unloading (HU; n = 9), and after 7 d of reloading (HUR-PBS or  HUR-LOS; n = 9 each). The absolute and relative weights, and fiber  cross-sectional area (CSA) of the soleus muscles of rats in the HU group were  significantly reduced as compared to those of the rats in the SED group at 7 d  post-hindlimb unloading. Seven days of reloading significantly increased the  muscle weights of rats in the HUR-PBS and HUR-LOS groups, with the recovery rate  of the absolute muscle weight and type I fiber CSA being significantly higher in  the HUR-LOS group (6.1% and 10.1%, respectively) than in the HUR-PBS group (4.7%  and 5.2%, respectively) (p < 0.05). Moreover, the absolute and relative muscle  weight in HUR-PBS were lower than SED; however, no significant difference was  observed between the SED and HUR-LOS groups. CSAs of type I and IIa fiber were  significantly higher in the HUR-LOS group than in the HU group. Losartan  administration during reloading resulted in increased Smad1/5/8 and mTOR  signaling and decreased Smad2/3 signaling and protein ubiquitination,  facilitating the recovery of atrophied soleus muscle. Therefore, losartan  administration-induced muscle recovery may partially be attributed to enhanced  Smad1/5/8 and mTOR signaling activation, and reduced activation of canonical  TGF-β signaling (Smad2/3) in the soleus muscle.",2022,European journal of pharmacology,2,soleus; hs; soleus muscle; unloading; rats
Mitophagy reporter mouse analysis reveals increased mitophagy activity in disuse-induced muscle atrophy.,"Muscle disuse induces atrophy through increased reactive oxygen species (ROS) released from damaged mitochondria. Mitophagy, the autophagic degradation of  mitochondria, is associated with increased ROS production. However, the mitophagy  activity status during disuse-induced muscle atrophy has been a subject of  debate. Here, we developed a new mitophagy reporter mouse line to examine how  disuse affected mitophagy activity in skeletal muscles. Mice expressing tandem  mCherry-EGFP proteins on mitochondria were then used to monitor the dynamics of  mitophagy activity. The reporter mice demonstrated enhanced mitophagy activity  and increased ROS production in atrophic soleus muscles following a 14-day  hindlimb immobilization. Results also showed an increased expression of multiple  mitophagy genes, including Bnip3, Bnip3l, and Park2. Our findings thus conclude  that disuse enhances mitophagy activity and ROS production in atrophic skeletal  muscles and suggests that mitophagy is a potential therapeutic target for  disuse-induced muscle atrophy.",2021,Journal of cellular physiology,3,mitochondrial; ros; pgc1α; disuse; mitophagy
Leucine and HMB differentially modulate proteasome system in skeletal muscle under different sarcopenic conditions.,"In the present study we have compared the effects of leucine supplementation and its metabolite β-hydroxy-β-methyl butyrate (HMB) on the ubiquitin-proteasome  system and the PI3K/Akt pathway during two distinct atrophic conditions, hindlimb  immobilization and dexamethasone treatment. Leucine supplementation was able to  minimize the reduction in rat soleus mass driven by immobilization. On the other  hand, leucine supplementation was unable to provide protection against soleus  mass loss in dexamethasone treated rats. Interestingly, HMB supplementation was  unable to provide protection against mass loss in all treatments. While solely  fiber type I cross sectional area (CSA) was protected in immobilized soleus of  leucine-supplemented rats, none of the fiber types were protected by leucine  supplementation in rats under dexamethasone treatment. In addition and in line  with muscle mass results, HMB treatment did not attenuate CSA decrease in all  fiber types against either immobilization or dexamethasone treatment. While  leucine supplementation was able to minimize increased expression of both  Mafbx/Atrogin and MuRF1 in immobilized rats, leucine was only able to minimize  Mafbx/Atrogin in dexamethasone treated rats. In contrast, HMB was unable to  restrain the increase in those atrogenes in immobilized rats, but in  dexamethasone treated rats, HMB minimized increased expression of Mafbx/Atrogin.  The amount of ubiquitinated proteins, as expected, was increased in immobilized  and dexamethasone treated rats and only leucine was able to block this increase  in immobilized rats but not in dexamethasone treated rats. Leucine  supplementation maintained soleus tetanic peak force in immobilized rats at  normal level. On the other hand, HMB treatment failed to maintain tetanic peak  force regardless of treatment. The present data suggested that the anti-atrophic  effects of leucine are not mediated by its metabolite HMB.",2013,PloS one,5,older; bed; hmb; bed rest; rest
Stable atrogin-1 (Fbxo32) and MuRF1 (Trim63) gene expression is involved in the protective mechanism in soleus muscle of hibernating Daurian ground squirrels  (Spermophilus dauricus).,"Understanding the mechanisms that protect against or limit muscle atrophy in hibernators during prolonged inactivity has important implications for its  treatment. We examined whether external factors influence the pathways regulating  protein synthesis and degradation, leading to muscle atrophy prevention in  Daurian ground squirrels (Spermophilus dauricus). We investigated the effects of  14-day hindlimb-unloading (HU) in different seasons and two-month hibernation on  the soleus (SOL) muscle wet mass, muscle-to-body mass ratio, fiber cross  sectional area (CSA), fiber distribution and muscle ultrastructure. We also  measured changes in the protein expression and activation states of Akt, mTOR and  FoxO1 and the mRNA expression of atrogin-1 and MuRF1. Compared with the control  groups, autumn and winter HU significantly lowered SOL muscle wet mass and  muscle-to-body mass ratio, decreased type I and II fiber CSA and induced  ultrastructural anomalies. However, these measured indices were unchanged between  Pre-hibernation and Hibernation groups. Furthermore, phosphorylation levels of  Akt and mTOR significantly decreased, while the phosphorylation level of FoxO1  and mRNA expression of atrogin-1 and MuRF1 increased after HU. During  hibernation, the phosphorylation levels of Akt and mTOR significantly decreased,  but the phosphorylation level of FoxO1 and mRNA expression of atrogin-1 and MuRF1  remained unchanged. Overall, our findings suggest that disuse and seasonality may  not be sufficient to initiate the innate protective mechanism that prevents SOL  atrophy during prolonged periods of hibernation inactivity. The stable expression  of atrogin-1 and MuRF1 may facilitate to prevent SOL atrophy via controlling  ubiquitination of muscle proteins during hibernation.",2016,Biology open,1,hu; expression; unloading; skeletal; skeletal muscle
"Muscle contractile exercise through a belt electrode device prevents myofiber atrophy, muscle contracture, and muscular pain in immobilized rat gastrocnemius  muscle.","PURPOSE: Immobilization of skeletal muscles causes muscle atrophy, muscle contracture, and muscle pain, the mechanisms of which are related to macrophage  accumulation. However, muscle contractile exercise through a belt electrode  device may mitigate macrophage accumulation. We hypothesized that such exercise  would be effective in preventing myofiber atrophy, muscle contracture, and  muscular pain. This study tested this hypothesis in immobilized rat gastrocnemius  muscle. MATERIALS AND METHODS: A total of 32 rats were divided into the following  control and experimental groups: immobilization (immobilized treatment only),  low-frequency (LF; immobilized treatment and muscle contractile exercise with a 2  s (do) /6 s (rest) duty cycle), and high-frequency (HF; immobilized treatment and  muscle contractile exercise with a 2 s (do)/2 s (rest) duty cycle). Electrical  stimulation was performed at 50 Hz and 4.7 mA, and muscle contractile exercise  was applied to the lower limb muscles for 15 or 20 min/session (once daily) for 2  weeks (6 times/week). After the behavioral tests, the bilateral gastrocnemius  muscles were collected for analysis. RESULTS: The number of macrophages, the  Atrogin-1 and MuRF-1 mRNA expression, and the hydroxyproline content in the HF  group were lower than those in the immobilization and LF groups. The  cross-sectional area (CSA) of type IIb myofibers in the superficial region, the  PGC-1α mRNA expression, and the range of motion of dorsiflexion in the HF group  were significantly higher than those in the immobilization and LF groups. The  pressure pain thresholds in the LF and HF groups were significantly higher than  that in the immobilization group, and the nerve growth factor (NGF) content in  the LF and HF groups was significantly lower than that in the immobilization  group. CONCLUSION: Muscle contractile exercise through the belt electrode device  may be effective in preventing immobilization-induced myofiber atrophy, muscle  contracture, and muscular pain in the immobilized rat gastrocnemius muscle.",2022,PloS one,8,group; immobilization; expression; protein; cast
No effect of five days of bed rest or short-term resistance exercise prehabilitation on markers of skeletal muscle mitochondrial content and dynamics  in older adults.,"Bed rest (BR) results in significant impairments in skeletal muscle metabolism. Mitochondrial metabolism is reportedly highly sensitive to disuse, with  dysregulated fission-fusion events and impaired oxidative function previously  reported. The effects of clinically relevant short-term BR (≤5 days) on  mitochondrial protein expression are presently unclear, as are the effects of  exercise prehabilitation as a potential counteractive intervention. The present  study examined the effects of a 5-day period of BR and short-term resistance  exercise prehabilitation (ST-REP) on mitochondrial-protein content. Ten older men  (71 ± 4 years) underwent 5 days of BR, completing four sessions of high-volume  unilateral resistance exercise prehabilitation over 7 days beforehand. Muscle  biopsies were obtained from the vastus lateralis in the non-exercised control and  exercised legs, both pre- and post-prehabilitation and pre- and post-BR, to  determine changes in citrate synthase enzyme activity and the expression of key  proteins in the mitochondrial electron transport chain and molecular regulators  of fission-fusion dynamics, biosynthesis, and mitophagy. We observed no  significant effect of either BR or ST-REP on citrate synthase protein content,  enzyme activity, or ETC complex I-V protein content. Moreover, we observed no  significant changes in markers of mitochondrial fission and fusion (p-DRP1(S616)  , p-DRP1(S637) , p-DRP1(S616/S637) ratio, p-MFF(S146) , Mitofillin, OPA1, or MFN2  (p > 0.05 for all). Finally, we observed no differences in markers of  biosynthesis (p-AMPK(T172) , p-ACC(S79) , PGC1a, TFAM) or mitophagy-related  signaling (ULK-1, BNIP3/NIX, LC3B I/II) (p > 0.05 for all). In contrast to  previous longer-term periods of musculoskeletal disuse (i.e., 7-14 days), a  clinically relevant, 5-day period of BR resulted in no significant perturbation  in muscle mitochondrial protein signaling in healthy older adults, with no effect  of ST-REP in the week prior to BR. Accordingly, disuse-induced muscle atrophy may  precede alterations in mitochondrial content.",2022,Physiological reports,5,older; bed; hmb; bed rest; rest
Muscle proteolytic system modulation through the effect of taurine on mice bearing muscular atrophy.,"Skeletal muscle atrophy occurs in different catabolic conditions and mostly accompanied with upregulation of Muscle ring finger 1 (MuRF1) gene which is one  of the master regulatory genes in muscle atrophy. Taurine amino acid is widely  distributed in different tissues and has anti-inflammatory and antioxidant  effects. This study aimed to investigate the potential influence of taurine on  muscle atrophy induced by reduced mechanical loading. Twenty-eight Albino mice  were used, and divided equally into four groups: group I (control); group II  (immobilization); group III (immobilization + taurine); and group IV (taurine).  Quadriceps muscle sections were taken for histopathology, immunohistochemical  analysis of caspase 3 expression, and qRT-PCR of MuRF1 gene. Our data revealed  Zenker necrosis associated with axonal injury of the nerve trunk of the  immobilized muscle together with increase of caspase 3 expression and  upregulation of MuRF1 gene. While, taurine supplementation alleviated the  muscular and neural tissues damage associated with disuse skeletal muscle atrophy  through downregulation of MuRF1 gene and decrease of tissue caspase 3 expression.  In conclusion, taurine may be helpful to counteract apoptosis and up-regulated  MuRF1 gene expression related to muscle atrophy, which might be hopeful for a  large number of patients.",2018,Molecular and cellular biochemistry,8,group; immobilization; expression; protein; cast
Calpain and caspase-3 play required roles in immobilization-induced limb muscle atrophy.,"Prolonged skeletal muscle inactivity results in a rapid decrease in fiber size, primarily due to accelerated proteolysis. Although several proteases are known to  contribute to disuse muscle atrophy, the ubiquitin proteasome system is often  considered the most important proteolytic system during many conditions that  promote muscle wasting. Emerging evidence suggests that calpain and caspase-3 may  also play key roles in inactivity-induced atrophy of respiratory muscles, but it  remains unknown if these proteases are essential for disuse atrophy in limb  skeletal muscles. Therefore, we tested the hypothesis that activation of both  calpain and caspase-3 is required for locomotor muscle atrophy induced by  hindlimb immobilization. Seven days of immobilization (i.e., limb casting)  promoted significant atrophy in type I muscle fibers of the rat soleus muscle.  Independent pharmacological inhibition of calpain or caspase-3 prevented this  casting-induced atrophy. Interestingly, inhibition of calpain activity also  prevented caspase-3 activation, and, conversely, inhibition of caspase-3  prevented calpain activation. These findings indicate that a regulatory cross  talk exists between these proteases and provide the first evidence that the  activation of calpain and caspase-3 is required for inactivity-induced limb  muscle atrophy.",2013,"Journal of applied physiology (Bethesda, Md. : 1985)",7,skeletal; skeletal muscle; muscle atrophy; protein; role
Soluble Whey Protein Hydrolysate Ameliorates Muscle Atrophy Induced by Immobilization via Regulating the PI3K/Akt Pathway in C57BL/6 Mice.,"Sarcopenia, a loss of skeletal muscle mass and function, is prevalent in older people and associated with functional decline and mortality. Protein  supplementation is necessary to maintain skeletal muscle mass and whey protein  hydrolysates have the best nutrient quality among food proteins. In the first  study, C57BL/6 mice were subjected to immobilization for 1 week to induce muscle  atrophy. Then, mice were administered with four different whey protein  hydrolysates for 2 weeks with continuous immobilization. Among them, soluble whey  protein hydrolysate (WP-S) had the greatest increase in grip strength, muscle  weight, and cross-sectional area of muscle fiber than other whey protein  hydrolysates. To investigate the molecular mechanism, we conducted another  experiment with the same experimental design. WP-S significantly promoted the  phosphoinositide 3-kinase (PI3K)/protein kinase B (Akt)/mammalian target of  rapamycin (mTOR) pathway and inhibited the PI3K/Akt/forkhead box O (FoxO)  pathway. In addition, it increased myosin heavy chain (MyHC) expression in both  the soleus and quadriceps and changed MyHC isoform expressions. In conclusion,  WP-S attenuated muscle atrophy induced by immobilization by enhancing the net  protein content regulating muscle protein synthesis and degradation. Thus, it is  a necessary and probable candidate for developing functional food to prevent  sarcopenia.",2020,Nutrients,9,mice; muscle atrophy; protein; immobilization; mass
Joint inflammation alters gene and protein expression and leads to atrophy in the tibialis anterior muscle in rats.,"OBJECTIVE: The aim of this study was to evaluate the effect of tibiotarsal joint inflammation in rat tibialis anterior muscle through muscle fiber cross-sectional  area (CSA) and gene expression (atrogin-1, muscle ring finger-1 [MuRF1], myogenic  differentiation-1 [MyoD], p38 mitogen-activated protein kinase [p38MAPK], nuclear  factor kappa B-dependent [NFκB], tumor necrosis factor-alpha [TNF-α]). DESIGN:  Wistar rats were randomly divided into three periods (2, 7, and 15 days) and  assigned into four groups within each experimental period: control, sham,  inflammation, and immobilization. Real-time polymerase chain reaction, Western  blot, immunofluorescence, and muscle fiber CSA analyses were performed. RESULTS:  At 2 days, the inflammation group increased atrogin-1, MuRF1, and myostatin and  reduced MyoD expression. At 7 days, the inflammation group increased atrogin-1,  MuRF1, NFκB, p38MAPK, MyoD, myostatin, and TNF-α expression and TNF-α protein and  reduced muscle fiber CSA. At 15 days, gene and protein expression in the  inflammation group returned to basal levels, and CSA values were similar to those  in control and sham groups. The immobilization groups have a similar pattern in  all experimental periods, with increased atrogin-1, MuRF1, NFκB, and TNF-α gene  expression and reduced muscle fiber CSA. The sham group had increased myostatin  and atrogin-1 expression at 2 days and increased MyoD and myostatin expression at  7 days. CONCLUSIONS: Joint inflammation stimulated the expression of muscle  factors related to atrophy, growth, differentiation, and mass regulation followed  by muscle atrophy.",2011,American journal of physical medicine & rehabilitation,8,group; immobilization; expression; protein; cast
FoxO3a suppression and VPS34 activity are essential to anti-atrophic effects of leucine in skeletal muscle.,"Our aim is to gain insight into the mechanisms underlying the anti-atrophic effects of leucine, namely, the way that this amino acid can restrain the  up-regulation of MuRF1 and Mafbx/Atrogin-1 in muscle atrophy. Male rats received  dietary leucine supplementation for 1-3 days, during which time their hind limbs  were immobilized. Our results showed that leucine inhibited Forkhead Box O3  (FoxO3a) translocation to cell nuclei. In addition, leucine was able to reverse  the expected reduction of FoXO3a ubiquitination caused by immobilization.  Unexpectedly, leucine promoted these effects independently of the Class I  PI3K/Akt pathway. Vacuolar protein sorting 34 (VPS34; a Class III PI3K) was  strongly localized in nuclei after immobilization and leucine supplementation was  able to prevent this effect. In experiments on cultured primary myotubes,  dexamethasone led to the localization of VPS34 in the nucleus. In addition, the  pharmacological inhibition of VPS34 blocked VPS34 nuclear localization and  impaired the protective effect of leucine upon myotube trophicity. Finally, the  pharmacological inhibition of VPS34 in primary myotubes prevented the protective  effects of leucine upon MuRF1 and Mafbx/Atrogin-1 gene expression.  Autophagy-related target genes were not responsive to leucine. Thus, we  demonstrate that the anti-atrophic effect of leucine is dependent upon FoxO3a  suppression and VPS34 activity.",2017,Cell and tissue research,8,group; immobilization; expression; protein; cast
New Strains of Akkermansia muciniphila and Faecalibacterium prausnitzii are Effective for Improving the Muscle Strength of Mice with Immobilization-Induced  Muscular Atrophy.,"Muscular atrophy is a muscle disease in which muscle mass and strength decrease due to aging, injury, metabolic disorders, or chronic conditions. Proteins in  muscle tissue are degraded by the ubiquitin-proteasome pathway, and atrophy  accelerates this pathway. Akkermansia muciniphila and Faecalibacterium  prausnitzii strains are effective agents against metabolic and inflammatory  diseases in next-generation probiotic research. In this study, we evaluated the  efficacy of A. muciniphila strain EB-AMDK19 and F. prausnitzii strain EB-FPDK11  in a mouse model of muscular atrophy, since atrophy inhibits energy metabolism  and immune activation. After oral administration of each strain for 4 weeks, the  hind legs of the mice were fixed with a plaster cast to immobilize them for a  week. As a result, the administration of EB-AMDK19 and EB-FPDK11 strains improved  grip strength but did not increase muscle mass. At the molecular level, A.  muciniphila and F. prausnitzii treatments decreased the expression levels of  ubiquitin-proteasome genes, atrogin-1, MuRF, and cathepsin L. They increased the  expression level of the mitochondrial biogenesis regulatory gene, PGC-1α. The  effect of the strains was confirmed by a decrease in myostatin. Furthermore, A.  muciniphila and F. prausnitzii modulated the immune function by enhancing ZO-1  and inhibiting IL-6. In particular, EB-AMDK19 promoted the expression of IL-10,  an anti-inflammatory cytokine. These results suggest that A. muciniphila and F.  prausnitzii may have beneficial effects on muscular atrophy, verified by newly  isolated EB-AMDK19 and EB-FPDK11 as potential next-generation probiotics.",2022,Journal of medicinal food,9,mice; muscle atrophy; protein; immobilization; mass
Angiotensin-(1-7) Prevents Skeletal Muscle Atrophy Induced by Transforming Growth Factor Type Beta (TGF-β) via Mas Receptor Activation.,"BACKGROUND: Transforming growth factor type beta 1 (TGF-β1) produces skeletal muscle atrophy. Angiotensin-(1-7) (Ang-(1-7)), through the Mas receptor, prevents  the skeletal muscle atrophy induced by sepsis, immobilization, or angiotensin II  (Ang-II). However, the effect of Ang-(1-7) on muscle wasting induced by TGF-β1 is  unknown. AIM: To evaluate whether Ang-(1-7)/Mas receptor axis could prevent the  skeletal muscle atrophy induced by TGF-β1. METHODS: This study assessed the  atrophic effect of TGF-β1 in C2C12 myotubes and mice in absence or presence of  Ang-(1-7), and the receptor participation using A779, an antagonist of the Mas  receptor. The levels of myosin heavy chain (MHC), polyubiquitination, and MuRF-1  were detected by western blot. Myotube diameter was also evaluated. In vivo  analysis included the muscle strength, fibre diameter, MHC and MuRF-1 levels by  western blot, and ROS levels by DCF probe detection. RESULTS: The results showed  that Ang-(1-7) prevented the increase in MuRF-1 and polyubiquitined protein  levels, the decrease of MHC levels, the myotubes/fibre diameter diminution, and  the increased production of reactive oxygen species (ROS) induced by TGF-β1.  Utilizing A779 inhibited the anti-atrophic effect of Ang-(1-7). CONCLUSION: The  preventive effect of Ang-(1-7) on skeletal muscle atrophy induced by TGF-β1 is  produced through inhibition of ROS production and proteasomal degradation of MHC.",2016,"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology",7,skeletal; skeletal muscle; muscle atrophy; protein; role
Chronic α-hydroxyisocaproic acid treatment improves muscle recovery after immobilization-induced atrophy.,"Muscle disuse atrophy is observed routinely in patients recovering from traumatic injury and can be either generalized resulting from extended bed rest or  localized resulting from single-limb immobilization. The present study addressed  the hypothesis that a diet containing 5% α-hydroxyisocaproic acid (α-HICA), a  leucine (Leu) metabolite, will slow the loss and/or improve recovery of muscle  mass in response to disuse. Adult 14-wk-old male Wistar rats were provided a  control diet or an isonitrogenous isocaloric diet containing either 5% α-HICA or  Leu. Disuse atrophy was produced by unilateral hindlimb immobilization  (""casting"") for 7 days and the contralateral muscle used as control. Rats were  also casted for 7 days and permitted to recover for 7 or 14 days. Casting  decreased gastrocnemius mass, which was associated with both a reduction in  protein synthesis and S6K1 phosphorylation as well as enhanced proteasome  activity and increased atrogin-1 and MuRF1 mRNA. Although neither α-HICA nor Leu  prevented the casting-induced muscle atrophy, the decreased muscle protein  synthesis was not observed in α-HICA-treated rats. Neither α-HICA nor Leu altered  the increased proteasome activity and atrogene expression observed with  immobilization. After 14 days of recovery, muscle mass had returned to control  values only in the rats fed α-HICA, and this was associated with a sustained  increase in protein synthesis and phosphorylation of S6K1 and 4E-BP1 of  previously immobilized muscle. Proteasome activity and atrogene mRNA content were  at control levels after 14 days and not affected by either treatment. These data  suggest that whereas α-HICA does not slow the loss of muscle produced by disuse,  it does speed recovery at least in part by maintaining an increased rate of  protein synthesis.",2013,American journal of physiology. Endocrinology and metabolism,0,recovery; reloading; mass; muscle mass; mice
Lack of muscle recovery after immobilization in old rats does not result from a defect in normalization of the ubiquitin-proteasome and the caspase-dependent  apoptotic pathways.,"Immobilization periods increase with age because of decreased mobility and/or because of increased pathological episodes that require bed-rest. Then,  sarcopaenia might be partially explained by an impaired recovery of skeletal  muscle mass after a catabolic state due to an imbalance of muscle protein  metabolism, apoptosis and cellular regeneration. Mechanisms involved during  muscle recovery have been little studied and in elderly they remain almost  unknown. We show, in rats, that a short immobilization period during ageing  initiated muscle atrophy that was indeed not recovered after 40 days.  Immobilization was associated with an activation of both the ubiquitin-proteasome  and the mitochondria-associated apoptotic pathways and the inflammatory and redox  processes, and a decrease of cellular regeneration. We show that the lack of  muscle recovery during ageing is not due to a defect in proteolysis or apoptosis  down-regulation. These observations lead us to hypothesize that muscle protein  synthesis activation after immobilization was altered during ageing.",2011,The Journal of physiology,0,recovery; reloading; mass; muscle mass; mice
Combination of hindlimb suspension and immobilization by casting exaggerates sarcopenia by stimulating autophagy but does not worsen osteopenia.,"Astronauts in space experience a unique environment that causes the concomitant loss of bone and muscle. However, the interaction between these tissues and how  osteopenia and sarcopenia affect each other is unclear. We explored this  relationship by exaggerating unloading-induced muscle loss using a unilateral  casting model in conjunction with hindlimb suspension (HLS). Five-month-old, male  C57Bl/6J mice subjected to HLS for 2 weeks displayed a significant decrease in  gastrocnemius and quadriceps weight (-9-10%), with a two-fold greater decrease in  muscle mass observed in the HLS + casted limb. However, muscle from casted limbs  had a higher rate of protein synthesis (+16%), compared to HLS alone, with  coordinated increases in S6K1 (+50%) and 4E-BP1 (+110%) phosphorylation.  Increased protein content for surrogate markers of autophagy, including LC3-II  (+75%), Atg7 (+10%), and Atg5-12 complex (+20%) was only detected in muscle from  the casted limb. In proximal tibias, HLS resulted in significant decreases in  bone volume fraction (-24% vs -8%), trabecular number (-6% vs +0.3%), trabecular  thickness (-10% vs -2%), and trabecular spacing (+8.4% vs +2%) compared to ground  controls. There was no further bone loss in casted limbs compared to HLS alone.  In tibia midshafts, HLS resulted in decreased total area (-2% vs +1%) and  increased bone mineral density (+1% vs -0.3%) compared to ground controls.  Cortical bone from casted limbs showed an increase in cortical thickness (+9% vs  +2%) and cortical area/total area (+1% vs -0.6%) compared to HLS alone. Our  results suggest that casting exacerbates unloading-induced muscle loss via  activation of autophagy. Casting did not exacerbate bone loss suggesting that the  unloading-induced loss of muscle and bone can be temporally dissociated and the  effect of reduced muscle activity plays a relatively minor role compared to  reduced load bearing on trabecular bone structure.",2018,Bone,0,recovery; reloading; mass; muscle mass; mice
